Array Size,Random Bubble Sort Usage,Increasing Bubble Sort Usage,Decreasing Bubble Sort Usage,Random Insertion Sort Usage,Increasing Insertion Sort Usage,Decreasing Insertion Sort Usage,Random Selection Sort Usage,Increasing Selection Sort Usage,Decreasing Selection Sort Usage
100,4950,4950,4950,2571,0,4950,4950,4950,4950
200,19900,19900,19900,9840,0,19900,19900,19900,19900
300,44850,44850,44850,22264,0,44850,44850,44850,44850
400,79800,79800,79800,41416,0,79800,79800,79800,79800
500,124750,124750,124750,63704,0,124750,124750,124750,124750
600,179700,179700,179700,90529,0,179700,179700,179700,179700
700,244650,244650,244650,121157,0,244650,244650,244650,244650
800,319600,319600,319600,151836,0,319600,319600,319600,319600
900,404550,404550,404550,204381,0,404550,404550,404550,404550
1000,499500,499500,499500,246821,0,499500,499500,499500,499500
